LOJA DE BEBIDAS                                                                                                                                          16/05/2023 10:55
------------------------------------------------------------------------------------------------------------------------------------------------------------------------

                                                                         ESTOQUE E LUCRO BRUTO
                                                                      Empresa: 1 - LOJA DE BEBIDAS
                                                                    Período: 08/05/2023 a 16/05/2023
                                                                            Modo: ANALÍTICO
                                                                       Lucro base: VALOR DO CUSTO
                                                                        Tipo custo: ÚLTIMO CUSTO
                                                                     Exibir: APENAS PRODUTOS ATIVOS


                                                                           VENDA DE PRODUTOS

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Grupo produto: 2 - BEBIDAS NAO ALCOOLICAS                                                                                                                                      |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
|                Produto                          | Qt. compra |   Unit. | Vl. compra |  Qt. venda |   Unit. | Vl. venda. |    Lucro    |  % Lucro | Qt. estoque |  Vl. estoque  |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
| 512 - ACHOC NESCAU PRONTINHO 200ML              |       0,00 |   1,990 |       0,00 |       0,00 |   3,500 |       0,00 |        0,00 |     0,00 |       -3,00 |         -5,97 |
| 7 - ACHOCOLATADO TODDYNHO 200ML                 |      27,00 |   2,690 |      72,63 |      13,00 |   4,500 |      58,50 |       24,73 |    73,23 |       32,00 |         86,08 |
| 813549 - AGUA DE COCO KERO COCO 1L              |       0,00 |   8,404 |       0,00 |       0,00 |  14,300 |       0,00 |        0,00 |     0,00 |        8,00 |         67,23 |
| 810742 - AGUA DE COCO KERO COCO 200ML           |       0,00 |   2,090 |       0,00 |       1,00 |   4,500 |       4,50 |        2,41 |   115,31 |       78,00 |        163,02 |
| 333222203 - AGUA DE COCO KERO COCO 330ML        |       0,00 |   4,124 |       0,00 |       0,00 |   7,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 333222308 - AGUA DE COCO VITCOCO 200ML          |       0,00 |   1,940 |       0,00 |       1,00 |   3,500 |       3,50 |        1,56 |    80,41 |       20,00 |         38,80 |
| 950 - AGUA MINALBA COM GAS  15L                 |       0,00 |   2,490 |       0,00 |       3,00 |   5,990 |      17,97 |       10,50 |   140,56 |       16,00 |         39,84 |
| 1008 - AGUA MINALBA COM GAS 510ML               |      12,00 |   1,350 |      16,20 |      16,00 |   3,500 |      56,00 |       34,40 |   159,26 |       65,00 |         87,75 |
| 58 - AGUA MINALBA MOVIMEN S/G 510ML             |       0,00 |   2,290 |       0,00 |       0,00 |   5,000 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 61 - AGUA MINALBA PREMIUM C/G 300ML             |       0,00 |   3,340 |       0,00 |       0,00 |   5,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 1000 - AGUA MINALBA SEM GAS 1,5L                |       6,00 |   2,080 |      12,48 |      14,00 |   5,500 |      77,00 |       46,56 |   152,96 |       59,00 |        122,72 |
| 1007 - AGUA MINALBA SEM GAS 500ML               |      48,00 |   0,965 |      46,32 |      45,00 |   2,500 |     112,50 |       68,40 |   155,10 |      130,00 |        122,20 |
| 504 - AGUA TONICA ANTARCTICA 350ML              |       0,00 |   2,690 |       0,00 |       1,00 |   4,990 |       4,99 |        2,30 |    85,50 |       11,00 |         29,59 |
| 511 - AGUA TONICA SCHWEPPES  350ML              |       0,00 |   3,190 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        3,00 |          9,57 |
| 917 - BEBIDA LACTEA ALPINO FAST CHOCOLAT 280ML  |       6,00 |   4,890 |      29,34 |       5,00 |   8,000 |      40,00 |       16,35 |    69,13 |        6,00 |         29,34 |
| 333222291 - BEBIDA LACTEA NESCAU  CHO 180ML     |      27,00 |   2,090 |      56,43 |       6,00 |   3,690 |      22,14 |        9,60 |    76,56 |       75,00 |        156,75 |
| 915 - BEBIDA LACTEA NESTON 280ML                |       6,00 |   4,790 |      28,74 |       1,00 |   8,490 |       8,49 |        3,70 |    77,24 |        5,00 |         23,95 |
| 2182 - CHA MATTE LEAO PESSEGO 15L               |       0,00 |   6,090 |       0,00 |       0,00 |  11,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 560 - COCA COLA COFFEE PLUS 220ML               |       0,00 |   2,090 |       0,00 |       8,00 |   3,990 |      31,92 |       15,20 |    90,91 |        8,00 |         16,72 |
| 954 - COCA COLA LATA 350ML                      |      84,00 |   2,750 |     231,00 |      42,00 |   8,269 |     347,29 |      231,79 |   200,68 |       74,00 |        203,50 |
| 952 - COCA COLA ZERO LATA 350ML                 |      24,00 |   2,750 |      66,00 |      26,00 |   8,384 |     217,98 |      146,48 |   204,87 |       35,00 |         96,25 |
| 1052 - ENERGETICO GUARAVITON ACAI  500ML        |      24,00 |   2,185 |      52,44 |      10,00 |   4,500 |      45,00 |       23,18 |   106,23 |       21,00 |         45,99 |
| 951 - ENERGETICO GUARAVITON GINSEN 500ML        |      36,00 |   2,180 |      78,48 |      14,00 |   4,500 |      63,00 |       32,48 |   106,42 |       28,00 |         61,04 |
| 813570 - ENERGETICO MONSTER DRAGON ICE TEA 473M |       0,00 |   6,490 |       0,00 |       0,00 |  10,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 810741 - ENERGETICO MONSTER ENE ABSOLUT ZER 473 |       0,00 |   6,490 |       0,00 |       2,00 |  10,990 |      21,98 |        9,00 |    69,34 |       16,00 |        103,84 |
| 810578 - ENERGETICO MONSTER ENER ULTRA VIOL 473 |       0,00 |   6,490 |       0,00 |       0,00 |  10,990 |       0,00 |        0,00 |     0,00 |        7,00 |         45,43 |
| 371 - ENERGETICO MONSTER ENERGY 473ML           |      12,00 |   6,490 |      77,88 |       9,00 |  10,990 |      98,91 |       40,50 |    69,34 |        9,00 |         58,41 |
| 952147 - ENERGETICO MONSTER ICE TEA PESSEGO 473 |       0,00 |   6,490 |       0,00 |       0,00 |  10,990 |       0,00 |        0,00 |     0,00 |       12,00 |         77,88 |
| 233 - ENERGETICO MONSTER KHAOS 473ML            |       0,00 |   6,490 |       0,00 |       2,00 |  10,990 |      21,98 |        9,00 |    69,34 |        1,00 |          6,49 |
| 810547 - ENERGETICO MONSTER MANGO LOCO MANG 473 |       0,00 |   6,490 |       0,00 |       3,00 |  10,990 |      32,97 |       13,50 |    69,34 |        3,00 |         19,47 |
| 401 - ENERGETICO MONSTER ULTRA  473ML           |       0,00 |   6,490 |       0,00 |       5,00 |  10,900 |      54,50 |       22,05 |    67,95 |        9,00 |         58,41 |
| 951967 - ENERGETICO MONSTER ULTRA PARADISE 473M |       0,00 |   6,490 |       0,00 |       0,00 |  10,990 |       0,00 |        0,00 |     0,00 |        4,00 |         25,96 |
| 1140 - ENERGETICO MOOD BLUEBERRY 269ML          |       0,00 |   3,410 |       0,00 |       6,00 |   6,000 |      36,00 |       15,54 |    75,95 |        7,00 |         23,87 |
| 952145 - ENERGETICO MOOD FRUTAS TROPICAIS 269ML |       0,00 |   3,420 |       0,00 |       2,00 |   6,000 |      12,00 |        5,16 |    75,44 |        6,00 |         20,52 |
| 952146 - ENERGETICO MOOD MELANCIA 269ML         |       0,00 |   3,990 |       0,00 |       0,00 |   6,000 |       0,00 |        0,00 |     0,00 |        9,00 |         35,91 |
| 403 - ENERGETICO MOOD SEM AÇUCAR 269ML          |       0,00 |   3,420 |       0,00 |       0,00 |   6,000 |       0,00 |        0,00 |     0,00 |       11,00 |         37,62 |
| 460 - ENERGETICO RED BULL 250ML ORIGINAL        |      12,00 |   6,990 |      83,88 |       0,00 |   8,690 |       0,00 |        0,00 |     0,00 |       14,00 |         97,86 |
